location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUS,0,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,1,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,2,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,3,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,4,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,5,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,6,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,7,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,8,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,9,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,10,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,11,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,12,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,13,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,0,Bauxite,30.66,16.15,0.49515899999999996,
AUS,1,Bauxite,30.66,16.15,0.49515899999999996,
AUS,2,Bauxite,30.66,16.15,0.49515899999999996,
AUS,3,Bauxite,30.66,16.15,0.49515899999999996,
AUS,4,Bauxite,30.66,16.15,0.49515899999999996,
AUS,5,Bauxite,30.66,16.15,0.49515899999999996,
AUS,6,Bauxite,30.66,16.15,0.49515899999999996,
AUS,7,Bauxite,30.66,16.15,0.49515899999999996,
AUS,8,Bauxite,30.66,16.15,0.49515899999999996,
AUS,9,Bauxite,30.66,16.15,0.49515899999999996,
AUS,10,Bauxite,30.66,16.15,0.49515899999999996,
AUS,11,Bauxite,30.66,16.15,0.49515899999999996,
AUS,12,Bauxite,30.66,16.15,0.49515899999999996,
AUS,13,Bauxite,30.66,16.15,0.49515899999999996,
AUS,0,Compressor,28400.57665784776,1.0,28.40057665784776,
AUS,1,Compressor,28248.738199592102,1.0,28.248738199592104,
AUS,2,Compressor,27999.992663777546,1.0,27.999992663777547,
AUS,3,Compressor,26055.14212229166,1.0,26.055142122291663,
AUS,4,Compressor,34477.10101756699,1.0,34.47710101756699,
AUS,5,Compressor,34219.00096,1.0,34.219000959999995,
AUS,6,Compressor,34534.5634466941,1.0,34.5345634466941,
AUS,7,Compressor,34907.90926530613,1.0,34.90790926530613,
AUS,8,Compressor,35311.007114197375,1.0,35.31100711419737,
AUS,9,Compressor,35715.850121955555,1.0,35.715850121955555,
AUS,10,Compressor,24437.24635521332,1.0,24.43724635521332,
AUS,11,Compressor,59839.39124195592,1.0,59.83939124195592,
AUS,12,Compressor,35349.88990816643,1.0,35.349889908166425,
AUS,13,Compressor,36544.456152299106,1.0,36.544456152299105,
AUS,0,Copper_ore,2.97144592,5.51666667,0.016392476668571486,
AUS,1,Copper_ore,2.97144592,5.51666667,0.016392476668571486,
AUS,2,Copper_ore,2.97144592,5.51666667,0.016392476668571486,
AUS,3,Copper_ore,2.9714459200000003,5.51666667,0.01639247666857149,
AUS,4,Copper_ore,1911.0002585308189,5.51666667,10.542351432598352,
AUS,5,Copper_ore,1911.000226880722,5.51666667,10.542351257995318,
AUS,6,Copper_ore,3056.20272823805,5.51666667,16.86005172763392,
AUS,7,Copper_ore,3056.202670648598,5.51666667,16.86005140993211,
AUS,8,Copper_ore,3056.2026164947215,5.51666667,16.86005111118322,
AUS,9,Copper_ore,3056.2025654778918,5.51666667,16.86005082974038,
AUS,10,Copper_ore,3056.202517333199,5.51666667,16.860050564142156,
AUS,11,Copper_ore,3056.2022770501376,5.51666667,16.8600492385806,
AUS,12,Copper_ore,3056.2022278845343,5.51666667,16.860048967350355,
AUS,13,Copper_ore,3056.202180968187,5.51666667,16.860048708528506,
AUS,0,HEX,30159.999999999996,1.0,30.159999999999997,
AUS,1,HEX,29699.999999999996,1.0,29.699999999999996,
AUS,2,HEX,28899.999999999996,1.0,28.899999999999995,
AUS,3,HEX,28599.999999999996,1.0,28.599999999999998,
AUS,4,HEX,28199.999999999996,1.0,28.199999999999996,
AUS,5,HEX,27799.999999999996,1.0,27.799999999999997,
AUS,6,HEX,27400.0,1.0,27.4,
AUS,7,HEX,29142.85714285714,1.0,29.142857142857142,
AUS,8,HEX,58700.0,1.0,58.7,
AUS,9,HEX,26300.0,1.0,26.3,
AUS,10,HEX,34571.42857142857,1.0,34.57142857142857,
AUS,11,HEX,25600.0,1.0,25.6,
AUS,12,HEX,32800.0,1.0,32.8,
AUS,13,HEX,31566.666666666668,1.0,31.566666666666666,
AUS,0,HP,60063.48889782115,1.0,60.06348889782115,
AUS,1,HP,59702.63134446488,1.0,59.702631344464876,
AUS,2,HP,59112.73091053838,1.0,59.11273091053838,
AUS,3,HP,55772.94481891694,1.0,55.77294481891694,
AUS,4,HP,57538.76668408145,1.0,57.53876668408145,
AUS,5,HP,56351.382137542634,1.0,56.351382137542636,
AUS,6,HP,55196.1468401115,1.0,55.196146840111496,
AUS,7,HP,54707.8796687564,1.0,54.707879668756405,
AUS,8,HP,56527.46417712193,1.0,56.527464177121935,
AUS,9,HP,62043.040665579065,1.0,62.04304066557906,
AUS,10,HP,65335.38766947579,1.0,65.3353876694758,
AUS,11,HP,64973.561713385294,1.0,64.9735617133853,
AUS,12,HP,65120.58377247374,1.0,65.12058377247374,
AUS,13,HP,51981.72736262804,1.0,51.981727362628035,
AUS,0,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,1,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,2,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,3,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,4,Iron,35.17089192,29.89,1.0512579594888,
AUS,5,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,6,Iron,35.17089192,29.89,1.0512579594888,
AUS,7,Iron,35.17089192,29.89,1.0512579594888,
AUS,8,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,9,Iron,35.17089192,29.89,1.0512579594888,
AUS,10,Iron,35.17089192,29.89,1.0512579594888,
AUS,11,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,12,Iron,35.17089192,29.89,1.0512579594888,
AUS,13,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,0,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,0,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,1,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,1,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,2,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,2,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,3,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,3,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,4,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,4,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,5,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,5,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,6,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,6,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,7,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,7,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,8,Nickel,3972.0835243533343,0.605625,2.4055930844364877,
AUS,8,Nickel,3972.0835243533343,0.605625,2.4055930844364877,
AUS,9,Nickel,4010.1190355533345,0.605625,2.4286283409069878,
AUS,9,Nickel,4010.1190355533345,0.605625,2.4286283409069878,
AUS,10,Nickel,4035.4760430200013,0.605625,2.443985178553988,
AUS,10,Nickel,4035.4760430200013,0.605625,2.443985178553988,
AUS,11,Nickel,4068.077909762858,0.605625,2.4637296841001306,
AUS,11,Nickel,4068.077909762858,0.605625,2.4637296841001306,
AUS,12,Nickel,4111.54706542,0.605625,2.4900556914949874,
AUS,12,Nickel,4111.54706542,0.605625,2.4900556914949874,
AUS,13,Nickel,4145.356408708889,0.605625,2.5105314750243206,
AUS,13,Nickel,4145.356408708889,0.605625,2.5105314750243206,
AUS,0,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,1,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,2,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,3,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,4,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,5,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,6,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,7,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,8,Refrigerant,15111.000999999998,0.56875,8.594381818749998,
AUS,9,Refrigerant,15111.001,0.56875,8.59438181875,
AUS,10,Refrigerant,15111.001000000002,0.56875,8.594381818750001,
AUS,11,Refrigerant,15111.000999999998,0.56875,8.594381818749998,
AUS,12,Refrigerant,15111.000999999998,0.56875,8.594381818749998,
AUS,13,Refrigerant,15111.000999999998,0.56875,8.594381818749998,
AUS,0,Steel,495.59999592000014,18.68125,9.258427423780502,
AUS,1,Steel,495.59999592000014,18.68125,9.258427423780502,
AUS,2,Steel,495.59999592000014,18.68125,9.258427423780502,
AUS,3,Steel,495.59999592,18.68125,9.2584274237805,
AUS,4,Steel,495.59999591999997,18.68125,9.2584274237805,
AUS,5,Steel,495.5999959200001,18.68125,9.258427423780502,
AUS,6,Steel,495.59999592,18.68125,9.2584274237805,
AUS,7,Steel,495.59999592,18.68125,9.2584274237805,
AUS,8,Steel,495.59999592,18.68125,9.2584274237805,
AUS,9,Steel,495.5999959200001,18.68125,9.258427423780502,
AUS,10,Steel,495.5999959200001,18.68125,9.258427423780502,
AUS,11,Steel,495.59999592,18.68125,9.2584274237805,
AUS,12,Steel,495.5999959200001,18.68125,9.258427423780502,
AUS,13,Steel,495.59999592,18.68125,9.2584274237805,
AUT,0,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,1,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,2,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,3,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,4,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,5,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,6,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,7,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,8,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,9,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,10,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,11,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,12,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,13,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,0,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,1,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,2,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,3,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,4,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,5,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,6,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,7,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,8,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,9,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,10,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,11,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,12,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,13,Bauxite,32.466521058378724,16.15,0.5243343150928164,
AUT,0,Compressor,81383.99676,1.0,81.38399675999999,
AUT,1,Compressor,79183.99676,1.0,79.18399676,
AUT,2,Compressor,77283.99676,1.0,77.28399676,
AUT,3,Compressor,75483.99676,1.0,75.48399676,
AUT,4,Compressor,73783.99676,1.0,73.78399676,
AUT,5,Compressor,72083.99676,1.0,72.08399675999999,
AUT,6,Compressor,70383.99676,1.0,70.38399675999999,
AUT,7,Compressor,68783.99676,1.0,68.78399676,
AUT,8,Compressor,67183.99676,1.0,67.18399676,
AUT,9,Compressor,65583.99676,1.0,65.58399675999999,
AUT,10,Compressor,64083.996759999995,1.0,64.08399675999999,
AUT,11,Compressor,62583.99676,1.0,62.583996760000005,
AUT,12,Compressor,61183.99676,1.0,61.18399676,
AUT,13,Compressor,59783.996759999995,1.0,59.783996759999994,
AUT,0,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,1,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,2,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,3,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,4,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,5,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,6,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,7,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,8,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,9,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,10,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,11,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,12,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,13,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,0,Copper_ore,2412.072411364351,5.51666667,13.306599477400244,
AUT,1,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,2,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,3,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,4,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,5,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,6,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,7,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,8,Copper_ore,696.2215589242958,5.51666667,3.840822269053104,
AUT,9,Copper_ore,1271.29391365653,5.51666667,7.013304761242837,
AUT,10,Copper_ore,1412.3364591985708,5.51666667,7.79138947128657,
AUT,11,Copper_ore,1102.861568584168,5.51666667,6.0841196570322,
AUT,12,Copper_ore,1230.9481476475653,5.51666667,6.790730618625562,
AUT,13,Copper_ore,1288.895574567346,5.51666667,7.110407257326178,
AUT,0,HEX,46430.00000004095,1.0,46.43000000004095,
AUT,1,HEX,27207.179864355556,1.0,27.207179864355556,
AUT,2,HEX,25914.290975466665,1.0,25.914290975466667,
AUT,3,HEX,25298.290975466665,1.0,25.298290975466664,
AUT,4,HEX,24682.29097546666,1.0,24.68229097546666,
AUT,5,HEX,24120.068753244443,1.0,24.120068753244443,
AUT,6,HEX,23511.179864355556,1.0,23.511179864355555,
AUT,7,HEX,22956.068753244443,1.0,22.95606875324444,
AUT,8,HEX,93066.66666654653,1.0,93.06666666654652,
AUT,9,HEX,54949.999999959036,1.0,54.94999999995903,
AUT,10,HEX,29663.360317255392,1.0,29.663360317255393,
AUT,11,HEX,55899.99999995319,1.0,55.89999999995319,
AUT,12,HEX,38133.333333322415,1.0,38.13333333332241,
AUT,13,HEX,30106.987517044745,1.0,30.106987517044743,
AUT,0,HP,152034.006,1.0,152.034006,
AUT,1,HP,63834.006,1.0,63.834006,
AUT,2,HP,63534.006,1.0,63.534006,
AUT,3,HP,63234.006,1.0,63.234006,
AUT,4,HP,62934.006,1.0,62.934006000000004,
AUT,5,HP,62734.006,1.0,62.734006,
AUT,6,HP,62434.006,1.0,62.434006000000004,
AUT,7,HP,62234.006,1.0,62.234006,
AUT,8,HP,61934.006,1.0,61.934006000000004,
AUT,9,HP,97334.006,1.0,97.33400599999999,
AUT,10,HP,72983.04091937399,1.0,72.98304091937399,
AUT,11,HP,92958.82200000035,1.0,92.95882200000035,
AUT,12,HP,70454.00600000001,1.0,70.454006,
AUT,13,HP,65240.45761290323,1.0,65.24045761290323,
AUT,0,Iron,28.92326128,29.89,0.8645162796592,
AUT,1,Iron,28.92326128,29.89,0.8645162796592,
AUT,2,Iron,28.92326128,29.89,0.8645162796592,
AUT,3,Iron,28.92326128,29.89,0.8645162796592,
AUT,4,Iron,28.92326128,29.89,0.8645162796592,
AUT,5,Iron,28.92326128,29.89,0.8645162796592,
AUT,6,Iron,28.92326128,29.89,0.8645162796592,
AUT,7,Iron,28.92326128,29.89,0.8645162796592,
AUT,8,Iron,28.92326128,29.89,0.8645162796592,
AUT,9,Iron,28.92326128,29.89,0.8645162796592,
AUT,10,Iron,28.92326128,29.89,0.8645162796592,
AUT,11,Iron,28.923261280000002,29.89,0.8645162796592001,
AUT,12,Iron,28.92326128,29.89,0.8645162796592,
AUT,13,Iron,28.92326128,29.89,0.8645162796592,
AUT,0,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,0,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,1,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,1,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,2,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,2,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,3,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,3,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,4,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,4,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,5,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,5,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,6,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,6,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,7,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,7,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,8,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,8,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,9,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,9,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,10,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,10,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,11,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,11,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,12,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,12,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,13,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,13,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,0,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,1,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,2,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,3,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,4,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,5,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,6,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,7,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,8,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,9,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,10,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,11,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,12,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,13,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,0,Steel,495.59999592,18.68125,9.2584274237805,
AUT,1,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,2,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,3,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,4,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,5,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,6,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,7,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,8,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,9,Steel,495.5999959199999,18.68125,9.258427423780498,
AUT,10,Steel,495.5999959200002,18.68125,9.258427423780503,
AUT,11,Steel,495.59999592,18.68125,9.2584274237805,
AUT,12,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,13,Steel,495.5999959200001,18.68125,9.258427423780502,
BRA,0,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,1,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,2,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,3,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,4,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,5,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,6,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,7,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,8,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,9,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,10,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,11,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,12,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,13,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,0,Bauxite,30.660000000000004,16.15,0.495159,
BRA,1,Bauxite,30.660000000000004,16.15,0.495159,
BRA,2,Bauxite,30.660000000000004,16.15,0.495159,
BRA,3,Bauxite,30.660000000000004,16.15,0.495159,
BRA,4,Bauxite,30.660000000000004,16.15,0.495159,
BRA,5,Bauxite,30.660000000000004,16.15,0.495159,
BRA,6,Bauxite,30.660000000000004,16.15,0.495159,
BRA,7,Bauxite,30.660000000000004,16.15,0.495159,
BRA,8,Bauxite,30.660000000000004,16.15,0.495159,
BRA,9,Bauxite,30.660000000000004,16.15,0.495159,
BRA,10,Bauxite,30.660000000000004,16.15,0.495159,
BRA,11,Bauxite,30.660000000000004,16.15,0.495159,
BRA,12,Bauxite,30.660000000000004,16.15,0.495159,
BRA,13,Bauxite,30.660000000000004,16.15,0.495159,
BRA,3,Compressor,4751859.945180656,1.0,4751.859945180657,
BRA,4,Compressor,499573.3333333333,1.0,499.5733333333333,
BRA,5,Compressor,365948.33092577837,1.0,365.94833092577835,
BRA,6,Compressor,114821.7875332541,1.0,114.8217875332541,
BRA,7,Compressor,67530.09976486232,1.0,67.53009976486231,
BRA,8,Compressor,48400.0,1.0,48.4,
BRA,9,Compressor,48200.0,1.0,48.2,
BRA,10,Compressor,48000.0,1.0,48.0,
BRA,11,Compressor,47700.0,1.0,47.7,
BRA,12,Compressor,47500.0,1.0,47.5,
BRA,13,Compressor,47300.0,1.0,47.3,
BRA,5,Copper,175.4628,5.51666667,0.9679697805848759,
